Year,Tm,HR,BB,SO,OPS,W-L%,ERA,H9,HR9,SO9,SO/W
2009,Boston Red Sox,212,659,1120,0.806,0.586,4.35,9.4,1,7.7,2.32
2009,Chicago White Sox,184,534,1022,0.74,0.488,4.14,9,1.1,7,2.21
2009,Cleveland Indians,161,582,1211,0.756,0.401,5.06,9.9,1.1,6.2,1.65
2009,Detroit Tigers,183,540,1114,0.747,0.528,4.29,9,1.1,6.9,1.86
2009,Kansas City Royals,144,457,1091,0.724,0.401,4.83,9.4,1,7.3,1.92
2009,Los Angeles Angels of Anaheim,173,547,1054,0.792,0.599,4.45,9.4,1.1,6.6,2.03
2009,Minnesota Twins,172,585,1021,0.774,0.534,4.5,9.6,1.1,6.5,2.26
2009,New York Yankees,244,663,1014,0.839,0.636,4.26,8.6,1.1,7.8,2.2
2009,Oakland Athletics,135,527,1046,0.726,0.463,4.26,9.2,1,7,2.15
2009,Seattle Mariners,160,421,1093,0.716,0.525,3.87,8.4,1.1,6.5,1.95
2009,Tampa Bay Rays,199,642,1229,0.782,0.519,4.33,9,1.2,7.1,2.18
2009,Texas Rangers,224,472,1253,0.764,0.537,4.38,9,1.1,6.4,1.91
2009,Toronto Blue Jays,209,548,1028,0.773,0.463,4.47,9.4,1.1,7.3,2.14
2010,Arizona Diamondbacks,180,589,1529,0.74,0.401,4.81,9.4,1.3,6.7,1.95
2010,Atlanta Braves,139,634,1140,0.74,0.562,3.56,8.3,0.8,7.8,2.46
2010,Chicago Cubs,149,479,1236,0.721,0.463,4.18,8.8,1,7.9,2.1
2010,Cincinnati Reds,188,522,1218,0.774,0.562,4.01,8.7,1,7,2.16
2010,Colorado Rockies,173,585,1274,0.76,0.512,4.14,8.8,0.9,7.7,2.35
2010,Florida Marlins,152,514,1375,0.724,0.494,4.08,9,0.8,7.3,2.13
2010,Houston Astros,108,415,1025,0.665,0.469,4.09,9,0.9,7.6,2.21
2010,Los Angeles Dodgers,120,533,1184,0.7,0.494,4.01,8.3,0.8,8,2.36
2010,Milwaukee Brewers,182,546,1216,0.759,0.475,4.58,9.3,1.1,7.9,2.16
2010,New York Mets,128,502,1095,0.697,0.488,3.7,8.9,0.8,6.9,2.03
2010,Philadelphia Phillies,166,560,1064,0.745,0.599,3.67,8.7,1,7.3,2.84
2010,Pittsburgh Pirates,126,463,1207,0.678,0.352,5,10,1.1,6.5,1.91
2010,San Diego Padres,132,538,1183,0.689,0.556,3.39,8.1,0.9,8,2.5
2010,San Francisco Giants,162,487,1099,0.729,0.568,3.36,7.9,0.8,8.2,2.3
2010,St. Louis Cardinals,150,541,1027,0.733,0.531,3.57,8.7,0.8,6.8,2.29
2010,Washington Nationals,149,503,1220,0.708,0.426,4.13,9.2,0.9,6.7,2.09
2010,Baltimore Orioles,133,424,1056,0.702,0.407,4.59,9.4,1.2,6.3,1.94
2010,Boston Red Sox,211,587,1140,0.79,0.549,4.2,8.7,0.9,7.5,2.08
2010,Chicago White Sox,177,467,922,0.752,0.543,4.09,9.2,0.8,7.1,2.34
2010,Cleveland Indians,128,545,1184,0.7,0.426,4.3,9.3,0.9,6.1,1.69
2010,Detroit Tigers,152,546,1147,0.75,0.5,4.3,9,0.9,6.6,1.97
2010,Kansas City Royals,121,471,905,0.73,0.414,4.97,9.7,1.1,6.5,1.88
2010,Los Angeles Angels of Anaheim,155,466,1070,0.702,0.494,4.04,8.8,0.9,7,2
2010,Minnesota Twins,142,559,967,0.762,0.58,3.95,9.2,1,6.5,2.74
2010,New York Yankees,201,662,1136,0.786,0.586,4.06,8.4,1.1,7.2,2.14
2010,Oakland Athletics,109,527,1061,0.702,0.5,3.56,8.3,1,6.7,2.09
2010,Seattle Mariners,101,459,1184,0.637,0.377,3.93,8.8,1,6.1,2.15
2010,Tampa Bay Rays,160,672,1292,0.736,0.593,3.78,8.3,1.1,7.4,2.49
2010,Texas Rangers,162,511,986,0.757,0.556,3.93,8.4,1,7.3,2.14
2010,Toronto Blue Jays,257,471,1164,0.766,0.525,4.22,8.8,0.9,7.4,2.2
2011,Arizona Diamondbacks,172,531,1249,0.736,0.58,3.8,8.8,1,6.6,2.39
2011,Atlanta Braves,173,504,1260,0.695,0.549,3.48,8.1,0.8,8.1,2.56
2011,Chicago Cubs,148,425,1202,0.715,0.438,4.33,9,1,7.7,2.11
2011,Cincinnati Reds,183,535,1250,0.734,0.488,4.16,8.7,1.1,6.8,2.06
2011,Colorado Rockies,163,555,1201,0.739,0.451,4.43,9.1,1.1,7,2.14
2011,Florida Marlins,149,542,1244,0.706,0.444,3.95,8.7,0.9,7.5,2.44
2011,Houston Astros,95,401,1164,0.684,0.346,4.51,9.3,1.2,7.5,2.13
2011,Los Angeles Dodgers,117,498,1087,0.697,0.509,3.54,8.1,0.8,8,2.5
2011,Milwaukee Brewers,185,481,1083,0.75,0.593,3.63,8.4,0.9,7.8,2.86
2011,New York Mets,108,571,1085,0.725,0.475,4.19,9.2,0.9,7,2.19
2011,Philadelphia Phillies,153,539,1024,0.717,0.63,3.02,8,0.7,7.9,3.22
2011,Pittsburgh Pirates,107,489,1308,0.676,0.444,4.04,9.4,0.9,6.4,1.93
2011,San Diego Padres,91,501,1320,0.653,0.438,3.42,8.2,0.8,7.1,2.19
2011,San Francisco Giants,121,448,1122,0.671,0.531,3.2,7.7,0.6,8.1,2.35
2011,St. Louis Cardinals,162,542,978,0.766,0.556,3.74,9,0.8,6.8,2.45
2011,Washington Nationals,154,470,1323,0.691,0.497,3.58,8.7,0.8,6.5,2.2
2011,Baltimore Orioles,191,452,1120,0.729,0.426,4.89,9.8,1.3,6.5,1.95
2011,Boston Red Sox,203,578,1108,0.81,0.556,4.2,8.4,1,7.5,2.25
2011,Chicago White Sox,154,475,989,0.706,0.488,4.1,9,0.9,7.5,2.78
2011,Cleveland Indians,154,494,1269,0.714,0.494,4.23,9.2,0.9,6.3,2.21
2011,Detroit Tigers,169,521,1143,0.773,0.586,4.04,8.8,0.9,7,2.27
2011,Kansas City Royals,129,442,1006,0.744,0.438,4.44,9.2,1,6.7,1.94
2011,Los Angeles Angels of Anaheim,155,442,1086,0.714,0.531,3.57,8.5,0.9,6.5,2.22
2011,Minnesota Twins,103,440,1048,0.666,0.389,4.58,9.9,1,6,1.96
2011,New York Yankees,222,627,1138,0.788,0.599,3.73,8.8,0.9,7.5,2.41
2011,Oakland Athletics,114,509,1094,0.68,0.457,3.71,8.6,0.8,7.2,2.24
2011,Seattle Mariners,109,435,1280,0.64,0.414,3.9,8.6,0.9,6.8,2.5
2011,Tampa Bay Rays,172,571,1193,0.724,0.562,3.58,7.8,1,7.1,2.27
2011,Texas Rangers,210,475,930,0.8,0.593,3.79,8.3,1.1,7.4,2.56
2011,Toronto Blue Jays,186,525,1184,0.73,0.5,4.32,8.8,1.1,7.2,2.16
2012,Arizona Diamondbacks,165,539,1266,0.746,0.5,3.93,9,1,7.5,2.88
2012,Atlanta Braves,149,567,1289,0.709,0.58,3.42,8.2,0.9,7.7,2.66
